,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
0,Mataura,-46.1927,168.8643,43.88,90,99,14.76,NZ,overcast clouds
1,Ushuaia,-54.8,-68.3,44.26,70,75,5.75,AR,broken clouds
2,Esperance,-33.8667,121.9,67.15,59,14,6.04,AU,few clouds
3,Imbituba,-28.24,-48.6703,59.86,98,4,3.49,BR,clear sky
4,Russell,32.3502,-85.1999,78.03,83,0,0.0,US,clear sky
5,Hobart,-42.8794,147.3294,52.27,80,20,10.36,AU,few clouds
6,Poum,-20.2333,164.0167,78.12,81,2,7.16,NC,clear sky
7,Pevek,69.7008,170.3133,33.31,99,83,5.39,RU,broken clouds
8,Bluff,-46.6,168.3333,46.9,76,98,35.81,NZ,overcast clouds
9,Maple Creek,49.9168,-109.4848,46.45,42,100,9.22,CA,overcast clouds
10,Busselton,-33.65,115.3333,64.51,61,2,10.18,AU,clear sky
11,Rikitea,-23.1203,-134.9692,74.1,77,9,7.78,PF,light rain
12,Kapaa,22.0752,-159.319,80.58,89,75,14.97,US,broken clouds
13,New Norfolk,-42.7826,147.0587,51.93,61,10,1.57,AU,clear sky
14,Saint-Pierre,-21.3393,55.4781,69.91,73,0,5.75,RE,clear sky
15,Talnakh,69.4865,88.3972,43.21,83,92,8.61,RU,overcast clouds
16,Avarua,-21.2078,-159.775,82.45,65,40,8.05,CK,scattered clouds
17,Port Alfred,-33.5906,26.891,61.18,71,100,4.74,ZA,light rain
18,Asbe Teferi,9.0833,40.8667,60.17,80,100,6.98,ET,overcast clouds
19,Fukuma,33.7667,130.4667,75.29,55,76,9.44,JP,broken clouds
20,Vaini,-21.2,-175.2,80.76,74,20,9.22,TO,few clouds
21,Naryan-Mar,67.6713,53.087,28.11,83,100,12.15,RU,overcast clouds
22,Harper,4.375,-7.7169,77.72,86,100,6.76,LR,light rain
23,Airai,-8.9266,125.4092,72.9,50,83,5.75,TL,broken clouds
24,Yatou,37.15,122.3833,76.23,47,0,9.28,CN,clear sky
25,Guerrero Negro,27.9769,-114.0611,65.08,72,0,15.21,MX,clear sky
26,Khatanga,71.9667,102.5,40.03,76,100,12.48,RU,overcast clouds
27,Severo-Kurilsk,50.6789,156.125,43.88,86,100,15.39,RU,overcast clouds
28,Fukue,32.6881,128.8419,71.96,64,40,14.97,JP,scattered clouds
29,Pasni,25.2631,63.471,82.17,89,1,11.72,PK,clear sky
30,Dikson,73.5069,80.5464,28.53,88,97,6.62,RU,overcast clouds
31,Asau,46.4333,26.4,47.32,76,7,6.98,RO,clear sky
32,Pisco,-13.7,-76.2167,65.01,82,49,16.11,PE,mist
33,Broome,42.2506,-75.833,68.85,84,75,9.22,US,broken clouds
34,Lenoir City,35.7973,-84.256,81.09,65,45,5.82,US,scattered clouds
35,Albany,42.6001,-73.9662,68.18,81,100,3.0,US,overcast clouds
36,Mar Del Plata,-38.0023,-57.5575,52.95,78,0,8.05,AR,clear sky
37,Kieta,-6.2167,155.6333,84.18,70,11,5.75,PG,light rain
38,Alice Springs,-23.7,133.8833,62.15,48,82,5.75,AU,broken clouds
39,Binzhou,37.3667,118.0167,87.17,24,0,13.44,CN,clear sky
40,Qaanaaq,77.484,-69.3632,12.43,88,95,4.61,GL,overcast clouds
