City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Masvingo,ZW,2022-05-16 15:57:09,-20.0637,30.8277,62.65,67,75,6.91
1,Pelym,RU,2022-05-16 15:57:09,61.0108,61.9978,53.28,59,46,1.41
2,Hambantota,LK,2022-05-16 15:55:20,6.1241,81.1185,79.14,100,20,9.22
3,Mataura,NZ,2022-05-16 15:57:10,-46.1927,168.8643,56.48,95,74,1.86
4,Chokurdakh,RU,2022-05-16 15:57:11,70.6333,147.9167,24.69,96,100,12.03
5,Acapulco,MX,2022-05-16 15:55:39,16.8634,-99.8901,87.67,50,39,5.14
6,Hofn,IS,2022-05-16 15:57:11,64.2539,-15.2082,55.42,67,75,9.22
7,Sars,RU,2022-05-16 15:57:12,56.5502,57.1366,49.59,89,99,5.44
8,Yazman,PK,2022-05-16 15:57:12,29.1212,71.7446,98.13,12,0,9.04
9,Potam,MX,2022-05-16 15:57:12,27.6,-110.3833,85.69,24,100,8.03
10,Albany,US,2022-05-16 15:54:17,42.6001,-73.9662,79.03,72,58,4.0
11,Klaksvik,FO,2022-05-16 15:57:13,62.2266,-6.589,52.72,87,36,22.26
12,Beringovskiy,RU,2022-05-16 15:57:13,63.05,179.3167,33.98,81,2,6.8
13,Jamestown,US,2022-05-16 15:52:38,42.097,-79.2353,58.64,94,100,7.0
14,Komsomolskiy,UZ,2022-05-16 15:57:14,40.4272,71.7189,75.92,41,64,2.3
15,Ushuaia,AR,2022-05-16 15:53:32,-54.8,-68.3,46.06,71,0,6.91
16,Port Alfred,ZA,2022-05-16 15:57:14,-33.5906,26.891,71.19,70,0,13.15
17,Belaya Gora,RU,2022-05-16 15:57:15,68.5333,146.4167,21.09,99,87,3.8
18,Georgetown,MY,2022-05-16 15:56:19,5.4112,100.3354,80.53,98,40,5.01
19,Dunmore East,IE,2022-05-16 15:57:15,52.1514,-6.9861,62.65,75,75,17.27
20,Esna,EG,2022-05-16 15:57:15,25.2934,32.554,98.62,6,96,19.57
21,Saint-Philippe,RE,2022-05-16 15:57:16,-21.3585,55.7679,72.99,81,99,12.68
22,Camacari,BR,2022-05-16 15:57:16,-12.6975,-38.3242,82.17,74,98,4.63
23,Linjiang,CN,2022-05-16 15:57:17,41.8069,126.9078,41.52,96,9,2.17
24,Bambous Virieux,MU,2022-05-16 15:57:17,-20.3428,57.7575,77.25,69,40,13.8
25,Lebu,CL,2022-05-16 15:57:17,-37.6167,-73.65,60.39,47,7,1.12
26,Cape Town,ZA,2022-05-16 15:53:24,-33.9258,18.4232,86.41,26,0,9.22
27,Khatanga,RU,2022-05-16 15:57:18,71.9667,102.5,27.0,91,97,9.44
28,Rikitea,PF,2022-05-16 15:57:18,-23.1203,-134.9692,77.49,69,33,20.0
29,Kaitangata,NZ,2022-05-16 15:57:19,-46.2817,169.8464,51.93,78,61,4.36
30,Yellowknife,CA,2022-05-16 15:54:45,62.456,-114.3525,43.32,56,75,10.36
31,Jimani,DO,2022-05-16 15:57:19,18.4917,-71.8502,87.69,41,100,11.79
32,Valdivia,CL,2022-05-16 15:56:22,-39.8142,-73.2459,39.29,46,20,4.25
33,Sorong,ID,2022-05-16 15:57:20,-0.8833,131.25,80.04,81,77,2.08
34,Hobart,AU,2022-05-16 15:55:32,-42.8794,147.3294,46.26,88,75,10.36
35,Clyde River,CA,2022-05-16 15:57:20,70.4692,-68.5914,23.23,100,20,3.44
36,Winnemucca,US,2022-05-16 15:57:21,40.973,-117.7357,67.19,40,8,3.31
37,Puerto Escondido,MX,2022-05-16 15:57:21,15.85,-97.0667,88.79,55,16,5.26
38,Ust-Nera,RU,2022-05-16 15:57:21,64.5667,143.2,28.99,95,95,4.83
39,Norman Wells,CA,2022-05-16 15:57:22,65.282,-126.8329,37.44,81,20,9.22
40,Severo-Kurilsk,RU,2022-05-16 15:58:22,50.6789,156.125,35.38,97,90,10.83
41,Kenai,US,2022-05-16 15:58:23,60.5544,-151.2583,44.1,81,92,1.3
42,Kismayo,SO,2022-05-16 15:58:23,-0.3582,42.5454,80.08,80,8,15.28
43,Alyangula,AU,2022-05-16 15:58:24,-13.8483,136.4192,74.97,70,0,6.22
44,Prince Rupert,CA,2022-05-16 15:55:57,54.3161,-130.3201,44.29,81,75,26.46
45,Tefe,BR,2022-05-16 15:58:24,-3.3542,-64.7114,77.11,94,100,3.44
46,Teahupoo,PF,2022-05-16 15:58:24,-17.8333,-149.2667,75.16,74,35,17.49
47,Torbay,CA,2022-05-16 15:58:25,47.6666,-52.7314,51.28,67,75,10.36
48,Salalah,OM,2022-05-16 15:58:25,17.0151,54.0924,81.86,72,2,4.43
49,Arraial Do Cabo,BR,2022-05-16 15:58:26,-22.9661,-42.0278,78.76,73,0,11.5
50,Bluff,NZ,2022-05-16 15:58:26,-46.6,168.3333,56.8,84,98,16.42
51,Busselton,AU,2022-05-16 15:58:26,-33.65,115.3333,62.08,61,93,11.45
52,Ambon,ID,2022-05-16 15:58:27,-3.6954,128.1814,77.14,94,40,2.3
53,Punta Arenas,CL,2022-05-16 15:58:27,-53.15,-70.9167,39.22,100,0,2.3
54,Bjornevatn,NO,2022-05-16 15:58:28,69.6672,29.9847,38.82,75,75,16.11
55,Cortez,US,2022-05-16 15:54:09,37.3489,-108.5859,69.69,27,92,19.22
